Namn,Dag,Månad,Ingår i namnlängden,Typ
Frida,18,2,Ja,Namn
Fritiof,18,2,Ja,Namn
Ella,19,2,Ja,Namn
Gabriella,19,2,Ja,Namn
Gabrielle,19,2,Nej,Namn
Gaby,19,2,Nej,Namn
Viviana,20,2,Nej,Namn
Vivianne,20,2,Ja,Namn
Hilding,21,2,Ja,Namn
Pia,22,2,Ja,Namn
Torsten,23,2,Ja,Namn
Torun,23,2,Ja,Namn
Mats,24,2,Ja,Namn
Matti,24,2,Nej,Namn
Mattias,24,2,Ja,Namn
Mattis,24,2,Nej,Namn
Sigvard,25,2,Ja,Namn
Sivar,25,2,Nej,Namn
Sivard,25,2,Nej,Namn
Sivert,25,2,Ja,Namn
Torgny,26,2,Ja,Namn
Torkel,26,2,Ja,Namn
Lage,27,2,Ja,Namn
Lago,27,2,Nej,Namn
Lave,27,2,Nej,Namn
Maisie,28,2,Nej,Namn
Maja,28,2,Nej,Namn
Majli,28,2,Nej,Namn
Manja,28,2,Nej,Namn
Mari,28,2,Nej,Namn
Maria,28,2,Ja,Namn
Mariella,28,2,Nej,Namn
Marielle,28,2,Nej,Namn
Marietta,28,2,Nej,Namn
Mariette,28,2,Nej,Namn
Marion,28,2,Nej,Namn
Marja,28,2,Nej,Namn
Marjatta,28,2,Nej,Namn
Marjo,28,2,Nej,Namn
Mary,28,2,Nej,Namn
Maryam,28,2,Nej,Namn
Mia,28,2,Nej,Namn
Mimmi,28,2,Nej,Namn
Mimmie,28,2,Nej,Namn
Mirja,28,2,Nej,Namn
Skottdagen,29,2,Ja,Högtid
Albin,1,3,Ja,Namn
Alvin,1,3,Nej,Namn
Elva,1,3,Nej,Namn
Elvi,1,3,Nej,Namn
Elvie,1,3,Nej,Namn
Elvira,1,3,Ja,Namn
Elvy,1,3,Nej,Namn
Erna,2,3,Ja,Namn
Ernesto,2,3,Nej,Namn
Ernst,2,3,Ja,Namn
Gunborg,3,3,Ja,Namn
Gunda,3,3,Nej,Namn
Gunvor,3,3,Ja,Namn
Adrian,4,3,Ja,Namn
Adriana,4,3,Ja,Namn
Adrienne,4,3,Nej,Namn
Tora,5,3,Ja,Namn
Tova,5,3,Nej,Namn
Tove,5,3,Ja,Namn
Tuve,5,3,Nej,Namn
Ebba,6,3,Ja,Namn
Ebbe,6,3,Ja,Namn
Camilla,7,3,Ja,Namn
Saga,8,3,Ja,Namn
Siv,8,3,Ja,Namn
Torben,9,3,Nej,Namn
Torbjörn,9,3,Ja,Namn
Torleif,9,3,Ja,Namn
Ada,10,3,Ja,Namn
Edla,10,3,Ja,Namn
Ethel,10,3,Nej,Namn
Edvin,11,3,Ja,Namn
Egon,11,3,Ja,Namn
Tori,12,3,Nej,Namn
Vicky,12,3,Nej,Namn
Viktoria,12,3,Ja,Namn
Greger,13,3,Ja,Namn
Gregor,13,3,Nej,Namn
Gregorius,13,3,Nej,Namn
Grels,13,3,Nej,Namn
Reijo,13,3,Nej,Namn
Matilda,14,3,Ja,Namn
Matilde,14,3,Nej,Namn
Matty,14,3,Nej,Namn
Maud,14,3,Ja,Namn
Milda,14,3,Nej,Namn
Tilda,14,3,Nej,Namn
Tilde,14,3,Nej,Namn
Tilly,14,3,Nej,Namn
