Namn,Dag,Månad,Ingår i namnlängden,Typ
Arne,4,8,Ja,Namn
Arno,4,8,Nej,Namn
Arnold,4,8,Ja,Namn
Alarik,5,8,Nej,Namn
Alrik,5,8,Ja,Namn
Ulrik,5,8,Ja,Namn
Alfons,6,8,Ja,Namn
Inez,6,8,Ja,Namn
Lilja,6,8,Nej,Namn
Denise,7,8,Ja,Namn
Dennis,7,8,Ja,Namn
Silva,8,8,Nej,Namn
Silvana,8,8,Nej,Namn
Silvia,8,8,Ja,Namn
Sylva,8,8,Nej,Namn
Sylvi,8,8,Nej,Namn
Sylvia,8,8,Ja,Namn
Sylvie,8,8,Nej,Namn
Roland,9,8,Ja,Namn
Lars,10,8,Ja,Namn
Lasse,10,8,Nej,Namn
Sanna,11,8,Nej,Namn
Sanne,11,8,Nej,Namn
Sanny,11,8,Nej,Namn
Susanna,11,8,Ja,Namn
Susanne,11,8,Nej,Namn
Susie,11,8,Nej,Namn
Claire,12,8,Nej,Namn
Clarence,12,8,Nej,Namn
Clarie,12,8,Nej,Namn
Clarissa,12,8,Nej,Namn
Clary,12,8,Nej,Namn
Klara,12,8,Ja,Namn
Kaj,13,8,Ja,Namn
Uno,14,8,Ja,Namn
Estelle,15,8,Ja,Namn
Stella,15,8,Ja,Namn
Brynolf,16,8,Ja,Namn
Valter,17,8,Ja,Namn
Verna,17,8,Nej,Namn
Verner,17,8,Ja,Namn
Volter,17,8,Nej,Namn
Ellen,18,8,Ja,Namn
Lena,18,8,Ja,Namn
Lene,18,8,Nej,Namn
Lenita,18,8,Nej,Namn
Magnus,19,8,Ja,Namn
Måns,19,8,Ja,Namn
Mogens,19,8,Nej,Namn
Berna,20,8,Nej,Namn
Bernhard,20,8,Ja,Namn
Bernhardina,20,8,Nej,Namn
Bernt,20,8,Ja,Namn
Jon,21,8,Ja,Namn
Jonna,21,8,Ja,Namn
Henny,22,8,Nej,Namn
Henrietta,22,8,Ja,Namn
Henriette,22,8,Nej,Namn
Henrika,22,8,Ja,Namn
Signar,23,8,Nej,Namn
Signe,23,8,Ja,Namn
Signhild,23,8,Ja,Namn
Signy,23,8,Nej,Namn
Bartolomeus,24,8,Ja,Namn
Lou,25,8,Nej,Namn
Louisa,25,8,Nej,Namn
Louise,25,8,Ja,Namn
Lova,25,8,Nej,Namn
Lovisa,25,8,Ja,Namn
Lovise,25,8,Nej,Namn
Luisa,25,8,Nej,Namn
Luise,25,8,Nej,Namn
Esten,26,8,Nej,Namn
Östen,26,8,Ja,Namn
Raoul,27,8,Ja,Namn
Rolf,27,8,Ja,Namn
Fatima,28,8,Ja,Namn
Leila,28,8,Ja,Namn
Hampus,29,8,Ja,Namn
Hans,29,8,Ja,Namn
Hasse,29,8,Nej,Namn
Abbe,30,8,Nej,Namn
Adalbert,30,8,Nej,Namn
Alba,30,8,Nej,Namn
Albert,30,8,Ja,Namn
Albertina,30,8,Ja,Namn
Alberto,30,8,Nej,Namn
Albrekt,30,8,Nej,Namn
Arve,31,8,Nej,Namn
Arvid,31,8,Ja,Namn
Arvida,31,8,Nej,Namn
Arvo,31,8,Nej,Namn
Vidar,31,8,Ja,Namn
Sam,1,9,Ja,Namn
Sami,1,9,Nej,Namn
Sammy,1,9,Nej,Namn
Samuel,1,9,Ja,Namn
Justina,2,9,Ja,Namn
Justus,2,9,Ja,Namn
Alfhild,3,9,Ja,Namn
Alva,3,9,Ja,Namn
Alvi,3,9,Nej,Namn
Alvina,3,9,Nej,Namn
Alvy,3,9,Nej,Namn
Gisela,4,9,Ja,Namn
Adela,5,9,Ja,Namn
Adele,5,9,Nej,Namn
Adelia,5,9,Nej,Namn
Adelina,5,9,Nej,Namn
Adla,5,9,Nej,Namn
Alida,5,9,Nej,Namn
Alina,5,9,Nej,Namn
Aline,5,9,Nej,Namn
Heidi,5,9,Ja,Namn
Lilian,6,9,Ja,Namn
Lillie,6,9,Nej,Namn
Lilly,6,9,Ja,Namn
Kevin,7,9,Ja,Namn
Roy,7,9,Ja,Namn
Alma,8,9,Ja,Namn
Hulda,8,9,Ja,Namn
Anita,9,9,Ja,Namn
Annette,9,9,Ja,Namn
Tord,10,9,Ja,Namn
Torfrid,10,9,Nej,Namn
Turid,10,9,Ja,Namn
Dagny,11,9,Ja,Namn
Helny,11,9,Ja,Namn
Åsa,12,9,Ja,Namn
Åse,12,9,Nej,Namn
Aslög,12,9,Nej,Namn
Åslög,12,9,Ja,Namn
Sture,13,9,Ja,Namn
Ida,14,9,Ja,Namn
Ronja,14,9,Ja,Namn
Sickan,15,9,Nej,Namn
Sigga,15,9,Nej,Namn
Sigrid,15,9,Ja,Namn
Siri,15,9,Ja,Namn
Dag,16,9,Ja,Namn
Daga,16,9,Ja,Namn
Dage,16,9,Nej,Namn
Hildegard,17,9,Ja,Namn
Magna,17,9,Nej,Namn
Magne,17,9,Nej,Namn
Magnhild,17,9,Ja,Namn
Orvar,18,9,Ja,Namn
Fredrika,19,9,Ja,Namn
Elisa,20,9,Nej,Namn
Elise,20,9,Ja,Namn
Lisa,20,9,Ja,Namn
Lise,20,9,Nej,Namn
Matteus,21,9,Ja,Namn
Maurice,22,9,Nej,Namn
Maurits,22,9,Ja,Namn
Moje,22,9,Nej,Namn
Moritz,22,9,Ja,Namn
Morris,22,9,Nej,Namn
Tea,23,9,Ja,Namn
Tekla,23,9,Ja,Namn
Gerhard,24,9,Ja,Namn
Gert,24,9,Ja,Namn
Jerry,24,9,Nej,Namn
Tryggve,25,9,Ja,Namn
Eina,26,9,Nej,Namn
Einar,26,9,Ja,Namn
Eje,26,9,Nej,Namn
Enar,26,9,Ja,Namn
Dagmar,27,9,Ja,Namn
Rigmor,27,9,Ja,Namn
Lennart,28,9,Ja,Namn
Lennie,28,9,Nej,Namn
Lenny,28,9,Nej,Namn
Leonard,28,9,Ja,Namn
Michel,29,9,Nej,Namn
Michelle,29,9,Nej,Namn
Mickel,29,9,Nej,Namn
Miguel,29,9,Nej,Namn
Mikael,29,9,Ja,Namn
Mikaela,29,9,Ja,Namn
Mike,29,9,Nej,Namn
Mikko,29,9,Nej,Namn
Helge,30,9,Ja,Namn
Helgo,30,9,Nej,Namn
Ragna,1,10,Ja,Namn
Ragnar,1,10,Ja,Namn
Ragni,1,10,Nej,Namn
Rainer,1,10,Nej,Namn
Rauno,1,10,Nej,Namn
Reiner,1,10,Nej,Namn
Lajos,2,10,Nej,Namn
Louis,2,10,Nej,Namn
Love,2,10,Ja,Namn
Ludvig,2,10,Ja,Namn
Luis,2,10,Nej,Namn
Evald,3,10,Ja,Namn
Osvald,3,10,Ja,Namn
Francesco,4,10,Nej,Namn
Francis,4,10,Nej,Namn
Francisco,4,10,Nej,Namn
Franco,4,10,Nej,Namn
Frank,4,10,Ja,Namn
Franklin,4,10,Nej,Namn
Frans,4,10,Ja,Namn
Franz,4,10,Nej,Namn
Bror,5,10,Ja,Namn
Jenni,6,10,Nej,Namn
Jennie,6,10,Nej,Namn
Jennifer,6,10,Ja,Namn
Jenny,6,10,Ja,Namn
Bibbi,7,10,Nej,Namn
Birgitta,7,10,Ja,Namn
Birgitte,7,10,Nej,Namn
Birte,7,10,Nej,Namn
Böret,7,10,Nej,Namn
Brigitta,7,10,Nej,Namn
Brigitte,7,10,Nej,Namn
Britt,7,10,Nej,Namn
Britta,7,10,Ja,Namn
Britte,7,10,Nej,Namn
Britten,7,10,Nej,Namn
Git,7,10,Nej,Namn
Gittan,7,10,Nej,Namn
Pirjo,7,10,Nej,Namn
Pirkko,7,10,Nej,Namn
Riitta,7,10,Nej,Namn
Nils,8,10,Ja,Namn
Nisse,8,10,Nej,Namn
Inger,9,10,Ja,Namn
Ingrid,9,10,Ja,Namn
Inkeri,9,10,Nej,Namn
Harri,10,10,Nej,Namn
Harriet,10,10,Ja,Namn
Harry,10,10,Ja,Namn
Elling,11,10,Nej,Namn
Erling,11,10,Ja,Namn
Jarl,11,10,Ja,Namn
Manfred,12,10,Ja,Namn
Manfrid,12,10,Nej,Namn
Valfrid,12,10,Ja,Namn
Valfrida,12,10,Nej,Namn
Berit,13,10,Ja,Namn
Birgit,13,10,Ja,Namn
Stellan,14,10,Ja,Namn
Hedda,15,10,Nej,Namn
Heddy,15,10,Nej,Namn
Hedvig,15,10,Ja,Namn
Helvig,15,10,Nej,Namn
Hildevig,15,10,Nej,Namn
Hill,15,10,Nej,Namn
Hillevi,15,10,Ja,Namn
Hilly,15,10,Nej,Namn
Hilvi,15,10,Nej,Namn
Vivi,15,10,Nej,Namn
Finn,16,10,Ja,Namn
Antoinetta,17,10,Nej,Namn
Antoinette,17,10,Nej,Namn
Antonia,17,10,Ja,Namn
Antonina,17,10,Nej,Namn
Toini,17,10,Ja,Namn
Toni,17,10,Nej,Namn
Luka,18,10,Nej,Namn
Lukas,18,10,Ja,Namn
Tor,19,10,Ja,Namn
Tore,19,10,Ja,Namn
Sibyl,20,10,Nej,Namn
Sibylla,20,10,Ja,Namn
Ursula,21,10,Ja,Namn
Yrsa,21,10,Ja,Namn
Marika,22,10,Ja,Namn
Marita,22,10,Ja,Namn
Maritza,22,10,Nej,Namn
Severin,23,10,Ja,Namn
Severina,23,10,Nej,Namn
Sören,23,10,Ja,Namn
Eberhard,24,10,Nej,Namn
Eilert,24,10,Ja,Namn
Eve,24,10,Nej,Namn
Evert,24,10,Ja,Namn
Inga,25,10,Ja,Namn
Ingalill,25,10,Ja,Namn
Amanda,26,10,Ja,Namn
Amandus,26,10,Nej,Namn
Amy,26,10,Nej,Namn
Manda,26,10,Nej,Namn
Mandis,26,10,Nej,Namn
Rasmus,26,10,Ja,Namn
Bina,27,10,Nej,Namn
Ina,27,10,Nej,Namn
Sabina,27,10,Ja,Namn
Sabine,27,10,Nej,Namn
Simon,28,10,Ja,Namn
Simona,28,10,Nej,Namn
Simone,28,10,Ja,Namn
Lola,29,10,Nej,Namn
Viola,29,10,Ja,Namn
Violet,29,10,Nej,Namn
Violetta,29,10,Nej,Namn
Violette,29,10,Nej,Namn
Bella,30,10,Nej,Namn
Bellis,30,10,Nej,Namn
Elsa,30,10,Ja,Namn
Else,30,10,Nej,Namn
Elsie,30,10,Nej,Namn
Elsy,30,10,Nej,Namn
Ilse,30,10,Nej,Namn
Isa,30,10,Nej,Namn
Isabell,30,10,Nej,Namn
Isabella,30,10,Ja,Namn
Isabelle,30,10,Nej,Namn
Ditte,31,10,Nej,Namn
Edgar,31,10,Ja,Namn
Edgard,31,10,Nej,Namn
Edit,31,10,Ja,Namn
Allhelgonadagen,1,11,Ja,Högtid
Tobias,2,11,Ja,Namn
Hubert,3,11,Ja,Namn
Hugo,3,11,Ja,Namn
Sverker,4,11,Ja,Namn
Eugen,5,11,Ja,Namn
Eugenia,5,11,Ja,Namn
Gustav Adolf,6,11,Ja,Namn
Ingegerd,7,11,Ja,Namn
Ingela,7,11,Ja,Namn
Vendela,8,11,Ja,Namn
Vendla,8,11,Nej,Namn
Ted,9,11,Nej,Namn
Teddy,9,11,Nej,Namn
Teodor,9,11,Ja,Namn
Teodora,9,11,Ja,Namn
Theo,9,11,Nej,Namn
Martin,10,11,Ja,Namn
Martina,10,11,Ja,Namn
Martine,10,11,Nej,Namn
Martinus,10,11,Nej,Namn
Martti,10,11,Nej,Namn
Mårten,11,11,Ja,Namn
Konrad,12,11,Ja,Namn
Kuno,12,11,Nej,Namn
Kurt,12,11,Ja,Namn
Karsten,13,11,Nej,Namn
Kasten,13,11,Nej,Namn
Kristen,13,11,Nej,Namn
Krister,13,11,Ja,Namn
Kristian,13,11,Ja,Namn
Risto,13,11,Nej,Namn
Emil,14,11,Ja,Namn
Emilia,14,11,Ja,Namn
Emilio,14,11,Nej,Namn
Emily,14,11,Nej,Namn
Emmy,14,11,Nej,Namn
Emy,14,11,Nej,Namn
Millan,14,11,Nej,Namn
Mille,14,11,Nej,Namn
Milly,14,11,Nej,Namn
Leopold,15,11,Ja,Namn
Vibeke,16,11,Ja,Namn
Vivan,16,11,Nej,Namn
Viveka,16,11,Ja,Namn
Vivika,16,11,Nej,Namn
Naemi,17,11,Ja,Namn
Naima,17,11,Ja,Namn
Naimi,17,11,Nej,Namn
Naomi,17,11,Nej,Namn
Noomi,17,11,Nej,Namn
Lillemor,18,11,Ja,Namn
Moa,18,11,Ja,Namn
Bessie,19,11,Nej,Namn
Beth,19,11,Nej,Namn
Betsy,19,11,Nej,Namn
Bettina,19,11,Nej,Namn
Betty,19,11,Nej,Namn
Elisabet,19,11,Ja,Namn
Elisif,19,11,Nej,Namn
Eliza,19,11,Nej,Namn
Elzbieta,19,11,Nej,Namn
Lill,19,11,Nej,Namn
Lis,19,11,Nej,Namn
Lisbet,19,11,Ja,Namn
Lisen,19,11,Nej,Namn
Lisette,19,11,Nej,Namn
Lissi,19,11,Nej,Namn
Lissie,19,11,Nej,Namn
Lissy,19,11,Nej,Namn
Liz,19,11,Nej,Namn
Lizette,19,11,Nej,Namn
Lizzi,19,11,Nej,Namn
Lizzie,19,11,Nej,Namn
Lizzy,19,11,Nej,Namn
Maren,20,11,Nej,Namn
Marina,20,11,Ja,Namn
Pontus,20,11,Ja,Namn
Elga,21,11,Nej,Namn
Helga,21,11,Ja,Namn
Hella,21,11,Nej,Namn
Helle,21,11,Nej,Namn
Olga,21,11,Ja,Namn
Cecilia,22,11,Ja,Namn
Celia,22,11,Nej,Namn
Celina,22,11,Nej,Namn
Celine,22,11,Nej,Namn
Cilla,22,11,Nej,Namn
Cissi,22,11,Nej,Namn
Sissa,22,11,Nej,Namn
Sissel,22,11,Nej,Namn
Sissela,22,11,Ja,Namn
Sissi,22,11,Nej,Namn
Klemens,23,11,Ja,Namn
Gudrun,24,11,Ja,Namn
Guje,24,11,Nej,Namn
Runa,24,11,Nej,Namn
Rune,24,11,Ja,Namn
Runo,24,11,Nej,Namn
Catalina,25,11,Nej,Namn
Katalin,25,11,Nej,Namn
Katarina,25,11,Ja,Namn
Katarzyna,25,11,Nej,Namn
Kate,25,11,Nej,Namn
Käthe,25,11,Nej,Namn
Kathy,25,11,Nej,Namn
Katinka,25,11,Nej,Namn
Katja,25,11,Ja,Namn
Katri,25,11,Nej,Namn
Katrin,25,11,Nej,Namn
Ketty,25,11,Nej,Namn
Kitty,25,11,Nej,Namn
Nina,25,11,Nej,Namn
Linus,26,11,Ja,Namn
Asta,27,11,Ja,Namn
Astrid,27,11,Ja,Namn
Estrid,27,11,Nej,Namn
Malte,28,11,Ja,Namn
Sone,29,11,Nej,Namn
Sonny,29,11,Nej,Namn
Sune,29,11,Ja,Namn
Anders,30,11,Ja,Namn
Andras,30,11,Nej,Namn
Andreas,30,11,Ja,Namn
Andrej,30,11,Nej,Namn
Andres,30,11,Nej,Namn
Andrew,30,11,Nej,Namn
Andris,30,11,Nej,Namn
Andy,30,11,Nej,Namn
Ante,30,11,Nej,Namn
Antero,30,11,Nej,Namn
Antti,30,11,Nej,Namn
Nanne,30,11,Nej,Namn
Oskar,1,12,Ja,Namn
Ossian,1,12,Ja,Namn
Beata,2,12,Ja,Namn
Beatrice,2,12,Ja,Namn
Lidia,3,12,Nej,Namn
Lydia,3,12,Ja,Namn
Barbara,4,12,Ja,Namn
Barbro,4,12,Ja,Namn
Sven,5,12,Ja,Namn
Nicholas,6,12,Nej,Namn
Niklas,6,12,Ja,Namn
Nikolaus,6,12,Ja,Namn
Angela,7,12,Ja,Namn
Angelika,7,12,Ja,Namn
Angelina,7,12,Nej,Namn
Virginia,8,12,Ja,Namn
Anna,9,12,Ja,Namn
Malena,10,12,Ja,Namn
Malene,10,12,Nej,Namn
Malin,10,12,Ja,Namn
Dan,11,12,Nej,Namn
Dana,11,12,Nej,Namn
Daniel,11,12,Ja,Namn
Daniela,11,12,Ja,Namn
Danny,11,12,Nej,Namn
Alejandro,12,12,Nej,Namn
Alessandro,12,12,Nej,Namn
Alex,12,12,Nej,Namn
Alexander,12,12,Ja,Namn
Alexia,12,12,Nej,Namn
Alexis,12,12,Ja,Namn
Alexius,12,12,Nej,Namn
Sander,12,12,Nej,Namn
Sante,12,12,Nej,Namn
Lucia,13,12,Ja,Namn
Lucie,13,12,Nej,Namn
Sixten,14,12,Ja,Namn
Sten,14,12,Ja,Namn
Gottfrid,15,12,Ja,Namn
Gottfrida,15,12,Nej,Namn
Jeff,15,12,Nej,Namn
Assar,16,12,Ja,Namn
Asser,16,12,Nej,Namn
Stig,17,12,Ja,Namn
Abraham,18,12,Ja,Namn
Ibrahim,18,12,Nej,Namn
Isak,19,12,Ja,Namn
Israel,20,12,Ja,Namn
Moses,20,12,Ja,Namn
Tom,21,12,Nej,Namn
Tomas,21,12,Ja,Namn
Tommi,21,12,Nej,Namn
Tommie,21,12,Nej,Namn
Tommy,21,12,Nej,Namn
Tuomo,21,12,Nej,Namn
Jonatan,22,12,Ja,Namn
Natan,22,12,Nej,Namn
Natanael,22,12,Ja,Namn
Adam,23,12,Ja,Namn
Eva,24,12,Ja,Namn
Juldagen,25,12,Ja,Högtid
Esteban,26,12,Nej,Namn
Istvan,26,12,Nej,Namn
Staffan,26,12,Ja,Namn
Stefan,26,12,Ja,Namn
Stefania,26,12,Nej,Namn
Stefano,26,12,Nej,Namn
Stefanus,26,12,Nej,Namn
Steffan,26,12,Nej,Namn
Steffen,26,12,Nej,Namn
Stephanie,26,12,Nej,Namn
Stephen,26,12,Nej,Namn
Steve,26,12,Nej,Namn
Tapani,26,12,Nej,Namn
Giovanni,27,12,Nej,Namn
Hannes,27,12,Nej,Namn
Hannu,27,12,Nej,Namn
Ioannis,27,12,Nej,Namn
Janos,27,12,Nej,Namn
Jean,27,12,Nej,Namn
Joen,27,12,Nej,Namn
Johan,27,12,Ja,Namn
Johannes,27,12,Ja,Namn
Johnnie,27,12,Nej,Namn
Johnny,27,12,Nej,Namn
Jonne,27,12,Nej,Namn
Jöns,27,12,Nej,Namn
Juan,27,12,Nej,Namn
Juha,27,12,Nej,Namn
Juhani,27,12,Nej,Namn
Juho,27,12,Nej,Namn
Jukka,27,12,Nej,Namn
Jussi,27,12,Nej,Namn
Ben,28,12,Nej,Namn
Benjamin,28,12,Ja,Namn
Benni,28,12,Nej,Namn
Bennie,28,12,Nej,Namn
Benny,28,12,Nej,Namn
Värnlösa barns dag,28,12,Ja,Högtid
Natali,29,12,Nej,Namn
Natalia,29,12,Ja,Namn
Natalie,29,12,Ja,Namn
Natasha,29,12,Nej,Namn
Abel,30,12,Ja,Namn
Set,30,12,Ja,Namn
Sylve,31,12,Nej,Namn
Sylvester,31,12,Ja,Namn
